#Pose estimation of object wrt camera. X forward, Y left, Z up
#time in seconds since epoch,position(x), position(y), position(z), q_x, q_y, q_z, q_w 

1407270148.9387276173,0.000793373,0.00761554,0.366069,0.0315405,-0.0580062,-0.997765,0.0103131
1407270148.9811587334,0.000811383,0.00755211,0.366146,0.031378,-0.0577074,-0.997787,0.0103133
1407270149.0141956806,0.000542244,0.00799958,0.366014,0.0327392,-0.0600644,-0.997608,0.00997138
1407270149.0769879818,0.000724924,0.00763667,0.366041,0.0319214,-0.0581858,-0.997745,0.00997276
1407270149.1083540916,0.000642362,0.00775582,0.366088,0.0322486,-0.0587822,-0.9977,0.0099723
1407270149.1781952381,0.000716845,0.00763581,0.366071,0.0319412,-0.0581749,-0.997742,0.0103129
1407270149.2291078568,0.000772242,0.00752216,0.366143,0.0316138,-0.0575786,-0.997787,0.0103133
1407270149.2685761452,0.00060093,0.00780578,0.366078,0.0324524,-0.0590582,-0.997677,0.00997207
1407270149.3041284084,0.000619214,0.00780153,0.366007,0.0324625,-0.0590527,-0.997675,0.0101421
1407270149.3357398510,0.000809527,0.00746965,0.366103,0.0314794,-0.0572643,-0.997811,0.0101435
1407270149.3732025623,0.000712262,0.00763948,0.366077,0.031971,-0.0581586,-0.997744,0.0101428
1407270149.4177327156,0.000876807,0.00728421,0.366163,0.031103,-0.0563065,-0.99787,0.0108245
1407270149.4610080719,0.000772761,0.00745762,0.366141,0.0316354,-0.0571783,-0.997811,0.0101435
1407270149.5015671253,0.000773277,0.00744804,0.36613,0.0316452,-0.0571729,-0.997809,0.0103136
1407270149.5389096737,0.000670362,0.00761969,0.366051,0.0321393,-0.0580657,-0.997742,0.0103129
1407270149.5732991695,0.00064734,0.00764836,0.366095,0.0322415,-0.0582035,-0.997731,0.0103128
1407270149.6274716854,0.00067457,0.00759404,0.366132,0.0320767,-0.0579059,-0.997753,0.010313
1407270149.6641871929,0.000726798,0.00749936,0.366136,0.0318295,-0.0574596,-0.997787,0.0103133
1407270149.6942918301,0.000780617,0.00742492,0.36617,0.0315822,-0.0570133,-0.99782,0.0103137
1407270149.7305331230,0.000679889,0.00758893,0.366104,0.0320767,-0.0579059,-0.997753,0.010313
1407270149.7636165619,0.00070834,0.00756115,0.366082,0.0319943,-0.0577572,-0.997765,0.0103131
1407270149.8064737320,0.000710237,0.00752857,0.36614,0.0319217,-0.057603,-0.997778,0.0101432
1407270149.8474972248,0.000803399,0.00735995,0.366192,0.0314464,-0.0566997,-0.997841,0.010484
1407270149.8993558884,0.000793977,0.00736141,0.366172,0.0315237,-0.0566567,-0.997841,0.010484
1407270149.9367434978,0.000767949,0.00738296,0.366193,0.0316354,-0.0567892,-0.997832,0.0103138
1407270149.9791991711,0.00066778,0.00754859,0.366152,0.032132,-0.0576807,-0.997765,0.0103131
1407270150.0218954086,0.000684936,0.00754859,0.366083,0.032132,-0.0576807,-0.997765,0.0103131
1407270150.0680608749,0.000630063,0.00762774,0.366047,0.03241,-0.0581098,-0.997732,0.0101427
1407270150.1017906666,0.000910909,0.00711086,0.366203,0.0309755,-0.0554044,-0.997928,0.0104849
1407270150.1499583721,0.000693771,0.007456,0.366137,0.0320105,-0.0571642,-0.997796,0.0104835
1407270150.1862447262,0.000676519,0.00747388,0.366154,0.0321131,-0.0573016,-0.997789,0.0101433
1407270150.2186880112,0.00078694,0.00730422,0.366141,0.0316142,-0.0564114,-0.997855,0.0101439
1407270150.2540659904,0.000831969,0.00721923,0.366178,0.0313934,-0.0559502,-0.997887,0.0103144
1407270150.3029949665,0.000505276,0.00764715,0.366157,0.0328839,-0.0582339,-0.997708,0.0103125
1407270150.3410422802,0.00055084,0.00759495,0.366085,0.0327166,-0.0579378,-0.997731,0.0103128
1407270150.3796591759,0.000698876,0.00736741,0.366115,0.0320476,-0.056753,-0.99782,0.0103137
1407270150.4119992256,0.000594428,0.00753839,0.366121,0.0325494,-0.0576416,-0.997753,0.010313
1407270150.4563097954,0.000568338,0.00759182,0.366071,0.0327265,-0.0579322,-0.997732,0.0101427
1407270150.5014295578,0.000777275,0.00725511,0.366129,0.0317227,-0.0561552,-0.997866,0.0101441
1407270150.5553433895,0.000731417,0.00731754,0.366124,0.0319092,-0.0564405,-0.997841,0.010484
1407270150.5983562469,0.000863802,0.00708712,0.366215,0.0312395,-0.055256,-0.997928,0.0104849
1407270150.6309061050,0.000575792,0.00753568,0.366145,0.0326181,-0.0576027,-0.997758,0.00980281
1407270150.6593761444,0.000642336,0.00741305,0.366099,0.0323218,-0.0569887,-0.997796,0.0104835
1407270150.7198917866,0.000679168,0.00735309,0.366131,0.0321636,-0.0566874,-0.99782,0.0103137
1407270150.7692492008,0.000579643,0.00752461,0.366105,0.0326868,-0.0575637,-0.997757,0.00997287
1407270150.8079402447,0.000524402,0.00756608,0.366091,0.0329337,-0.0578147,-0.997734,0.00997264
1407270150.8429784775,0.000513976,0.00756288,0.366127,0.0329632,-0.0577978,-0.997732,0.0101427
1407270150.8830096722,0.000550173,0.00750738,0.366098,0.0328045,-0.0574968,-0.997753,0.010313
1407270150.9297850132,0.0006472,0.00734492,0.36615,0.0322988,-0.0566104,-0.99782,0.0103137
1407270150.9678800106,0.000502643,0.00756702,0.366141,0.0329731,-0.0577922,-0.997731,0.0103128
1407270150.9987447262,0.000461678,0.00760942,0.366087,0.0332208,-0.0580424,-0.997708,0.0103125
1407270151.0483062267,0.000391231,0.00772375,0.366039,0.0335787,-0.0586213,-0.997666,0.00997196
1407270151.0761368275,0.000594202,0.00737808,0.366136,0.0325837,-0.0568394,-0.997798,0.0103135
1407270151.1218392849,0.000735266,0.0071599,0.366173,0.031907,-0.0556589,-0.997887,0.0103144
1407270151.1729955673,0.000522961,0.00750123,0.366123,0.032922,-0.0574296,-0.997753,0.010313
1407270151.2076098919,0.00073657,0.00716121,0.366173,0.031907,-0.0556589,-0.997887,0.0103144
1407270151.2385187149,0.000348377,0.00778174,0.366075,0.0337879,-0.0588934,-0.997642,0.00997173
1407270151.2993936539,0.000324248,0.00781985,0.365966,0.0339672,-0.0591826,-0.997618,0.0101415
1407270151.3400630951,0.000517194,0.0074883,0.366083,0.0329514,-0.0574127,-0.997755,0.0101429
1407270151.3654863834,0.00051583,0.0074928,0.366088,0.032971,-0.0574015,-0.997755,0.0101429
1407270151.3990581036,0.000584893,0.00737439,0.36614,0.0326321,-0.0568116,-0.9978,0.0101434
1407270151.4554591179,0.000599911,0.00734493,0.366106,0.0325764,-0.0566475,-0.997809,0.0103136
1407270151.4820303917,0.000627274,0.00730123,0.36618,0.0324068,-0.0563526,-0.997832,0.0103138
1407270151.5214903355,0.000495841,0.00751956,0.366079,0.0331047,-0.0575208,-0.997745,0.00997276
1407270151.5525524616,0.000650207,0.00722147,0.366141,0.0323136,-0.0560137,-0.997854,0.010314
1407270151.5851833820,0.000542246,0.00739938,0.366146,0.0328236,-0.0568976,-0.997787,0.0103133
1407270151.6276526451,0.000511951,0.00744836,0.366106,0.0330033,-0.0571866,-0.997766,0.010143
1407270151.6780126095,0.000502139,0.00745502,0.366125,0.033013,-0.057181,-0.997765,0.0103131
1407270151.7322258949,0.000481947,0.00750308,0.366074,0.0331929,-0.0574699,-0.997744,0.0101428
1407270151.7881121635,0.000494483,0.00744613,0.366164,0.0330325,-0.0571697,-0.997765,0.0103131
1407270151.8253815174,0.000643425,0.00721906,0.366119,0.0323518,-0.0559916,-0.997854,0.010314
1407270151.8801379204,0.000505693,0.00745464,0.366141,0.0330325,-0.0571697,-0.997765,0.0103131
1407270151.9251475334,0.00050942,0.00744322,0.366094,0.0330325,-0.0571697,-0.997765,0.0103131
1407270151.9829781055,0.000500428,0.00744416,0.366111,0.033052,-0.0571585,-0.997765,0.0103131
1407270152.0205292702,0.000469392,0.00750092,0.366084,0.0332223,-0.0574529,-0.997742,0.0103129
